ID,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
1,14.891,3606,283,2,34.0,11,Male,No,,Caucasian,333
2,106.025,6645,483,3,82.0,15,Female,Yes,Yes,Asian,903
3,104.593,7075,514,4,71.0,11,Male,No,No,Asian,580
4,148.924,9504,681,3,36.0,11,Female,No,No,Asian,964
5,55.882,4897,357,2,68.0,16,Male,No,Yes,Caucasian,331
6,80.18,8047,569,4,77.0,10,Male,No,No,Caucasian,1151
7,20.996,3388,259,2,37.0,12,Female,No,No,African American,203
8,71.408,7114,512,2,87.0,9,Male,No,No,Asian,872
9,15.125,3300,266,5,66.0,13,Female,No,No,Caucasian,279
10,,6819,491,3,41.0,19,Female,Yes,Yes,African American,1350
11,63.095,8117,589,4,30.0,14,Male,No,Yes,Caucasian,1407
12,15.045,1311,138,3,64.0,16,Male,No,No,Caucasian,0
13,80.616,5308,394,1,57.0,7,Female,No,Yes,Asian,204
14,43.682,6922,511,1,49.0,9,Male,No,Yes,Caucasian,1081
15,19.144,3291,269,2,75.0,13,Female,No,No,African American,148
16,,2525,200,3,57.0,15,Female,,Yes,African American,86
17,53.598,3714,286,3,73.0,17,Female,No,Yes,African American,42
18,36.496,4378,339,3,69.0,15,Female,No,Yes,Asian,368
19,49.57,6384,448,1,28.0,9,Female,No,Yes,Asian,891
20,42.079,6626,479,2,44.0,9,Male,No,No,Asian,1048
21,17.7,2860,235,4,63.0,16,Female,No,,Asian,89
22,37.348,6378,458,1,,17,Female,No,No,Caucasian,968
23,20.103,2631,213,3,61.0,10,Male,No,,African American,43
24,64.027,5179,398,5,48.0,8,Male,No,Yes,African American,411
25,10.742,1757,156,3,57.0,15,Female,No,No,Caucasian,0
26,14.09,4323,326,5,25.0,16,Female,No,Yes,African American,671
27,42.471,3625,289,6,44.0,12,Female,Yes,No,Caucasian,654
28,32.793,4534,333,2,44.0,16,Male,No,No,African American,467
29,186.634,13414,949,2,41.0,14,Female,No,Yes,African American,1809
30,26.813,5611,411,4,55.0,16,Female,No,No,Caucasian,915
31,34.142,5666,413,4,47.0,5,Female,No,,Caucasian,863
